İl                             Province,"Kütüphane sayısı
Number of libraries","Kütüphaneden yararlanan kişi sayısı
Number of people benefiting from the library","Kütüphaneye kayıtlı üye sayısı
Number of registered members of the library","Ödünç verilen materyal sayısı
Number of 
materials lent","Kitap sayısı
Number of books",Genel                                                            Generalities,Felsefe ve psikoloji                                     Philosophy and psychology,Din                                                              Religion,Sosyal bilimler                                                   Social sciences,Dil ve dil bilim                           Language and linguistics,"Doğa bilimleri ve matematik                                       Natural sciences 
and mathematics",Uygulamalı bilimler ve teknoloji                                                                Applied sciences and technology,Sanat                                                      The arts,Edebiyat ve retorik                    Literature and rhetoric,"Coğrafya, tarih ve yardımcı disiplinler Geography, history and subsidiary disciplines"
Türkiye, 1 302,39 194 669,7 160 225,8 897 407,26 041 029, 819 930, 962 712,1 653 247,4 960 942, 430 221, 563 642, 902 805,1 018 656,12 403 121,2 325 753
İstanbul,  76,6 577 638, 483 476, 416 513,3 132 543,  110 210,  125 921,  220 323,  607 513,  93 449,  140 796,  221 917,  225 570, 1 133 642,  253 202
Tekirdağ,  10, 345 390, 91 887, 96 627, 247 319,  8 581,  8 488,  15 772,  46 394,  2 748,  4 007,  7 360,  7 870,  124 019,  22 080
Edirne,  10, 167 817, 52 564, 67 104, 300 262,  13 028,  9 683,  17 342,  52 936,  5 347,  5 670,  10 156,  11 416,  142 830,  31 854
Kırklareli,  11, 72 434, 47 078, 56 295, 205 513,  6 109,  7 756,  11 115,  34 746,  2 898,  3 758,  5 778,  7 096,  106 179,  20 078
Balıkesir,  25, 478 697, 98 756, 194 196, 454 387,  18 327,  14 398,  25 397,  103 598,  6 675,  7 480,  13 513,  14 707,  209 496,  40 796
Çanakkale,  13, 242 586, 60 291, 109 522, 238 951,  3 409,  8 871,  15 309,  48 999,  2 983,  4 193,  6 819,  8 361,  118 587,  21 420
İzmir,  44,1 031 055, 308 420, 467 433, 715 916,  11 016,  25 545,  41 184,  144 327,  9 457,  14 667,  21 356,  24 021,  369 435,  54 908
Aydın,  22, 361 877, 116 936, 206 003, 430 842,  12 179,  14 262,  25 913,  84 405,  6 312,  6 625,  12 005,  13 918,  213 309,  41 914
Denizli,  23, 454 025, 101 383, 169 760, 453 149,  13 216,  14 739,  22 765,  91 576,  6 442,  7 938,  12 126,  16 099,  223 896,  44 352
Muğla,  15, 581 208, 84 051, 178 822, 299 506,  11 375,  10 133,  15 146,  53 117,  4 218,  5 444,  7 985,  9 949,  152 220,  29 919
Manisa,  21, 479 443, 182 500, 235 717, 461 171,  11 541,  15 924,  28 162,  89 411,  6 874,  7 458,  11 942,  14 729,  237 053,  38 077
Afyonkarahisar,  17, 210 340, 78 699, 108 509, 325 641,  16 554,  11 533,  20 085,  60 560,  5 009,  6 007,  9 991,  10 884,  152 958,  32 060
Kütahya,  18, 145 925, 88 622, 133 312, 342 240,  5 451,  12 578,  24 976,  64 411,  5 529,  6 143,  10 307,  12 537,  172 280,  28 028
Uşak,  8, 277 075, 55 143, 62 239, 186 154,  4 748,  6 383,  12 506,  37 691,  3 181,  3 551,  5 556,  8 078,  85 686,  18 774
Bursa,  19, 384 049, 96 695, 96 247, 406 596,  15 632,  13 354,  28 681,  78 922,  6 724,  7 061,  10 854,  15 528,  190 938,  38 902
Eskişehir,  12, 673 513, 135 150, 225 813, 355 123,  8 013,  12 947,  18 620,  71 694,  4 381,  6 519,  11 012,  12 459,  179 307,  30 171
Bilecik,  7, 120 705, 37 411, 52 370, 198 430,  4 412,  7 288,  11 693,  40 796,  2 798,  3 848,  6 277,  6 896,  96 090,  18 332
Kocaeli,  17, 278 249, 98 790, 110 919, 327 314,  4 362,  14 855,  22 722,  60 512,  4 099,  6 120,  10 688,  10 347,  168 906,  24 703
Sakarya,  18, 176 127, 93 114, 91 038, 264 853,  4 865,  11 073,  16 918,  47 742,  3 628,  5 038,  8 106,  9 644,  136 318,  21 521
Düzce,  9, 129 990, 52 549, 59 591, 155 743,  2 647,  7 016,  10 778,  29 046,  2 202,  2 968,  5 542,  4 958,  77 888,  12 698
Bolu,  9, 131 868, 38 750, 57 206, 203 020,  10 607,  7 580,  9 583,  35 049,  4 023,  3 369,  5 443,  7 695,  97 406,  22 265
Yalova,  4, 65 776, 26 879, 49 147, 80 288,   494,  3 313,  4 370,  16 080,   934,  1 166,  2 338,  3 249,  42 696,  5 648
Ankara,  76, 864 595, 485 892, 570 960,1 135 188,  19 187,  47 740,  77 485,  208 803,  15 548,  21 438,  35 130,  36 599,  586 575,  86 683
Konya,  39,1 264 469, 227 295, 197 060, 643 925,  29 508,  20 589,  42 015,  116 742,  8 962,  11 470,  19 620,  23 312,  303 192,  68 515
Karaman,  8, 126 325, 40 108, 63 652, 158 593,  3 075,  5 160,  10 229,  34 647,  2 489,  3 597,  5 047,  6 251,  72 531,  15 567
Antalya,  22, 402 629, 156 041, 254 634, 469 757,  9 432,  17 413,  28 817,  92 865,  7 006,  8 637,  14 527,  17 585,  230 358,  43 117
Isparta,  32,1 094 734, 83 051, 113 334, 555 517,  23 222,  18 850,  34 338,  101 181,  8 499,  11 056,  17 611,  20 775,  263 670,  56 315
Burdur,  12, 240 951, 52 020, 130 800, 242 853,  6 519,  7 643,  13 551,  49 185,  3 273,  4 253,  7 196,  8 183,  119 540,  23 510
Adana,  21, 152 082, 85 439, 63 873, 395 623,  14 545,  13 938,  21 255,  72 017,  5 905,  7 783,  11 959,  13 653,  197 647,  36 921
Mersin,  19, 458 762, 122 755, 137 740, 375 508,  6 856,  14 306,  22 762,  75 821,  5 512,  6 047,  10 235,  12 170,  194 111,  27 688
Hatay,  24, 294 379, 131 704, 61 597, 336 727,  6 330,  13 216,  22 105,  66 864,  5 159,  6 232,  10 166,  10 670,  166 817,  29 168
Kahramanmaraş,  15, 159 752, 55 900, 40 526, 266 891,  22 256,  8 342,  15 656,  57 715,  3 243,  4 645,  7 171,  7 739,  121 268,  18 856
Osmaniye,  10, 226 296, 83 612, 86 941, 153 962,  1 646,  5 599,  9 683,  28 201,  2 040,  3 076,  4 513,  3 751,  84 690,  10 763
Kırıkkale,  13, 328 336, 42 668, 56 808, 214 058,  4 154,  7 979,  13 221,  41 442,  3 106,  4 198,  6 399,  8 511,  104 261,  20 787
Aksaray,  7, 171 347, 43 891, 39 107, 89 845,  5 079,  3 649,  4 808,  15 461,  1 469,  1 852,  2 697,  2 972,  44 668,  7 190
Niğde,  15, 132 272, 44 185, 54 242, 166 659,  1 554,  6 665,  12 836,  30 064,  2 351,  2 806,  5 135,  5 218,  86 548,  13 482
Nevşehir,  25, 140 492, 50 784, 100 729, 445 759,  15 830,  13 427,  27 600,  89 361,  6 927,  7 563,  13 084,  18 015,  205 568,  48 384
Kırşehir,  10, 696 047, 56 382, 77 651, 196 847,  2 740,  7 134,  12 196,  38 186,  2 646,  3 642,  5 784,  7 452,  96 772,  20 295
Kayseri,  29,2 192 825, 138 225, 207 893, 555 120,  16 347,  20 598,  34 471,  107 156,  8 531,  10 600,  16 678,  20 253,  266 122,  54 364
Sivas,  23, 877 251, 146 598, 107 081, 462 727,  34 887,  13 666,  26 758,  84 030,  10 943,  12 456,  15 094,  16 837,  196 820,  51 236
Yozgat,  18, 79 894, 49 620, 48 804, 269 733,  13 631,  9 204,  16 411,  50 825,  5 414,  6 269,  8 255,  10 655,  123 654,  25 415
Zonguldak,  9, 104 879, 54 541, 57 970, 203 333,  2 542,  8 080,  11 961,  37 823,  2 688,  4 139,  6 182,  6 463,  106 306,  17 149
Karabük,  7, 210 529, 45 382, 54 735, 181 500,  3 491,  6 700,  11 935,  34 554,  2 356,  3 263,  5 962,  6 758,  89 838,  16 643
Bartın,  4, 27 064, 20 645, 29 111, 128 030,  1 557,  5 173,  7 696,  24 059,  1 607,  2 047,  3 834,  4 240,  68 037,  9 780
Kastamonu,  19, 126 961, 40 469, 51 597, 278 243,  16 319,  8 590,  15 987,  49 322,  4 099,  5 802,  9 156,  10 837,  127 563,  30 568
Çankırı,  14, 62 901, 35 678, 36 077, 236 861,  13 125,  6 671,  10 633,  38 281,  2 876,  3 707,  6 312,  7 700,  126 697,  20 859
Sinop,  10, 156 028, 42 115, 55 146, 201 119,  4 257,  7 028,  13 331,  35 245,  3 010,  3 392,  6 082,  6 348,  103 497,  18 929
Samsun,  20,1 471 418, 157 448, 160 355, 439 536,  13 639,  16 923,  28 127,  79 649,  6 390,  8 573,  13 961,  13 427,  220 154,  38 693
Tokat,  14, 652 835, 129 619, 136 269, 371 095,  8 708,  12 955,  25 624,  64 564,  5 564,  6 840,  10 061,  14 873,  187 415,  34 491
Çorum,  19, 363 848, 91 288, 87 133, 399 884,  9 096,  12 840,  24 523,  81 655,  5 307,  7 859,  11 233,  13 806,  198 233,  35 332
Amasya,  8, 222 954, 73 486, 188 842, 284 947,  19 663,  9 051,  19 421,  51 786,  4 045,  5 544,  8 037,  8 328,  131 465,  27 607
Trabzon,  18, 433 424, 72 361, 81 589, 274 053,  5 035,  9 163,  15 943,  50 661,  4 570,  4 729,  8 136,  11 474,  135 207,  29 135
Ordu,  25, 428 167, 79 730, 131 998, 497 629,  19 463,  17 385,  34 116,  94 891,  7 035,  8 003,  14 482,  17 220,  240 062,  44 972
Giresun,  18, 180 605, 60 908, 74 349, 346 701,  7 747,  12 535,  25 589,  68 254,  4 997,  5 242,  10 276,  12 537,  167 749,  31 775
Rize,  16, 67 545, 40 594, 24 882, 185 234,  5 214,  6 431,  11 371,  39 987,  2 871,  3 113,  5 551,  6 313,  89 088,  15 295
Artvin,  9, 78 682, 24 299, 34 608, 163 291,  2 348,  6 734,  10 527,  35 258,  2 291,  3 057,  4 787,  5 525,  77 717,  15 047
Gümüşhane,  9, 81 945, 21 357, 24 203, 151 201,  3 225,  4 871,  9 399,  30 948,  2 300,  2 557,  3 945,  6 269,  72 387,  15 300
Erzurum,  22, 781 910, 83 237, 93 040, 408 529,  17 882,  13 739,  22 746,  73 863,  6 122,  7 294,  11 443,  14 201,  204 056,  37 183
Erzincan,  15, 325 868, 47 402, 53 283, 208 537,  3 651,  8 112,  13 199,  42 773,  3 400,  3 375,  6 481,  7 683,  101 000,  18 863
Bayburt,  3, 27 551, 14 220, 9 408, 109 463,  2 328,  4 313,  7 352,  22 919,  1 496,  1 648,  3 250,  4 384,  51 096,  10 677
Ağrı,  9, 248 640, 44 434, 57 050, 143 374,  4 007,  5 108,  10 162,  24 693,  2 354,  1 954,  3 598,  4 881,  73 794,  12 823
Kars,  9, 85 822, 27 808, 32 827, 193 882,  12 805,  6 795,  9 131,  35 369,  2 856,  3 917,  5 823,  6 856,  90 603,  19 727
Iğdır,  5, 141 091, 21 487, 26 091, 103 279,  1 840,  5 865,  8 097,  19 665,  2 365,  2 683,  4 376,  3 139,  47 461,  7 788
Ardahan,  6, 65 100, 9 582, 8 603, 64 964,  1 619,  3 333,  3 642,  12 785,  1 065,  1 494,  2 288,  3 033,  29 508,  6 197
Malatya,  19, 520 719, 79 225, 75 622, 289 215,  19 688,  10 210,  17 578,  51 386,  5 903,  5 401,  7 694,  10 269,  131 905,  29 181
Elazığ,  12, 588 402, 68 741, 68 638, 236 509,  9 699,  9 065,  15 209,  39 897,  3 101,  4 289,  5 775,  6 892,  116 887,  25 695
Bingöl,  7, 299 417, 45 331, 49 070, 176 251,  4 557,  7 199,  12 720,  32 811,  2 369,  3 030,  5 226,  6 547,  84 282,  17 510
Tunceli,  7, 48 632, 12 454, 17 156, 118 254,  1 317,  5 352,  6 489,  25 707,  1 357,  1 803,  3 017,  3 501,  60 763,  8 948
Van,  20,1 308 178, 311 543, 678 458, 464 500,  4 540,  18 889,  26 658,  88 113,  4 733,  10 744,  15 831,  12 073,  251 110,  31 809
Muş,  8, 561 135, 47 878, 31 473, 170 664,  4 511,  6 270,  9 177,  32 119,  2 694,  3 299,  5 419,  5 822,  86 944,  14 409
Bitlis,  8, 334 947, 51 974, 110 852, 172 914,  2 612,  7 984,  14 881,  31 267,  2 543,  3 326,  3 733,  5 312,  87 747,  13 509
Hakkari,  6, 106 722, 25 873, 28 058, 106 858,  19 868,  3 508,  6 399,  13 222,  1 374,  1 312,  2 049,  2 437,  47 587,  9 102
Gaziantep,  14, 351 814, 157 181, 74 590, 307 506,  6 071,  13 193,  19 072,  57 292,  4 416,  5 799,  9 305,  11 139,  154 210,  27 009
Adıyaman,  13, 693 363, 77 061, 62 074, 225 919,  6 044,  9 275,  17 889,  39 561,  3 581,  3 779,  6 704,  8 341,  112 260,  18 485
Kilis,  4, 152 626, 24 276, 20 975, 71 671,  2 518,  2 782,  4 413,  16 160,   907,  1 301,  1 934,  2 253,  33 838,  5 565
Şanlıurfa,  12, 578 352, 97 399, 91 276, 231 574,  6 871,  9 253,  17 144,  41 109,  3 469,  4 527,  6 733,  8 552,  112 133,  21 783
Diyarbakır,  19, 942 877, 148 086, 112 609, 204 896,  5 857,  7 926,  14 280,  40 683,  2 964,  3 555,  6 645,  6 931,  98 490,  17 565
Mardin,  12, 317 979, 78 796, 123 356, 264 440,  3 998,  11 176,  17 611,  49 854,  3 246,  4 494,  8 005,  7 822,  139 725,  18 509
Batman,  12,2 375 018, 84 995, 69 222, 210 072,  4 049,  10 416,  15 524,  38 235,  2 790,  4 150,  7 171,  6 705,  104 405,  16 627
Şırnak,  7, 233 308, 45 879, 71 834, 172 798,  2 545,  8 152,  14 107,  30 583,  2 547,  3 064,  5 501,  6 708,  85 455,  14 136
Siirt,  8, 146 188, 40 129, 45 163, 122 050,  2 050,  4 909,  8 027,  23 848,  1 629,  2 091,  3 435,  4 445,  60 496,  11 120
"TÜİK, Kütüphane İstatistikleri, 2025",,,,,,,,,,,,,,,
"TurkStat, Library Statistics, 2025",,,,,,,,,,,,,,,
"Kaynak: Kültür ve Turizm Bakanlığı, Kütüphaneler ve Yayımlar Genel Müdürlüğü",,,,,,,,,,,,,,,
"Source: Ministry of Culture and Tourism, General Directorate of Libraries and Publications",,,,,,,,,,,,,,,